name,latitude,longitude,font size,font file,point size
Goose Hollow/Southwest Hills,45.51826944023065,-122.6989624315901,10,fonts/helvetica.ttf,2
Goose Hollow/Southwest Hills,45.51289141511002,-122.69268666169394,10,fonts/helvetica.ttf,2
Southwest Hills,45.503878603258144,-122.70732452734651,10,fonts/helvetica.ttf,2
Sunnyside,45.515664796197846,-122.62480506158902,10,fonts/helvetica.ttf,2
Hazelwood/Mill Park,45.517402333395545,-122.5559390694758,10,fonts/helvetica.ttf,2
Sylvan-Highlands/Southwest Hills,45.51148867772639,-122.72769131629181,10,fonts/helvetica.ttf,2
Mill Park,45.51208108158713,-122.54025638389953,10,fonts/helvetica.ttf,2
Centennial,45.505939147085606,-122.5003381548673,10,fonts/helvetica.ttf,2
Hosford-Abernethy,45.50626806609392,-122.65103166208365,10,fonts/helvetica.ttf,2
Richmond,45.50451042227936,-122.62302983495674,10,fonts/helvetica.ttf,2
South Portland,45.488032860276526,-122.67379916812081,10,fonts/helvetica.ttf,2
Homestead,45.4950818267551,-122.68722114127681,10,fonts/helvetica.ttf,2
South Tabor,45.50139778871707,-122.59384570755806,10,fonts/helvetica.ttf,2
Bridlemile/Southwest Hills,45.4983371896554,-122.71908530056464,10,fonts/helvetica.ttf,2
Powellhurst-Gilbert,45.493466048518755,-122.53999652571565,10,fonts/helvetica.ttf,2
Brooklyn Action Corps,45.490136201980754,-122.65634305943715,10,fonts/helvetica.ttf,2
Bridlemile,45.49021013242898,-122.72552115047344,10,fonts/helvetica.ttf,2
Creston-Kenilworth,45.49360798613757,-122.62213208838631,10,fonts/helvetica.ttf,2
Hillsdale,45.48018465026995,-122.69559264308602,10,fonts/helvetica.ttf,2
Foster-Powell,45.492384598520246,-122.59041479818913,10,fonts/helvetica.ttf,2
Lents,45.47732317145207,-122.56568734413379,10,fonts/helvetica.ttf,2
Lents/Powellhurst-Gilbert,45.4911414799809,-122.55496548817166,10,fonts/helvetica.ttf,2
Healy Heights/Southwest Hills,45.492347379458344,-122.69838895318462,10,fonts/helvetica.ttf,2
Centennial/Pleasant Valley,45.490304582825544,-122.4924123317924,10,fonts/helvetica.ttf,2
Pleasant Valley,45.47289883353484,-122.51710465907219,10,fonts/helvetica.ttf,2
Southwest Hills,45.49047909834018,-122.69449889358025,10,fonts/helvetica.ttf,2
Mt. Scott-Arleta,45.48168847536938,-122.59189980721271,10,fonts/helvetica.ttf,2
Sellwood-Moreland Improvement League,45.47035848210575,-122.65184952750286,10,fonts/helvetica.ttf,2
Reed,45.48680118420302,-122.63215256879444,10,fonts/helvetica.ttf,2
Woodstock,45.48062986894895,-122.61366500746794,10,fonts/helvetica.ttf,2
Hayhurst,45.48103562318226,-122.72774989354198,10,fonts/helvetica.ttf,2
Eastmoreland/Reed,45.48180404425677,-122.63168301045637,10,fonts/helvetica.ttf,2
Eastmoreland,45.47302430990239,-122.63149466275792,10,fonts/helvetica.ttf,2
Pleasant Valley/Powellhurst-Gilbert,45.47897178751135,-122.52659927239347,10,fonts/helvetica.ttf,2
Maplewood,45.47188691358877,-122.73358415044227,10,fonts/helvetica.ttf,2
Multnomah,45.46654686699766,-122.71262710086741,10,fonts/helvetica.ttf,2
Brentwood-Darlington,45.4688980178911,-122.59735729526557,10,fonts/helvetica.ttf,2
South Burlingame,45.466722573926084,-122.68477220415876,10,fonts/helvetica.ttf,2
Ashcreek,45.457794092713236,-122.73695472049207,10,fonts/helvetica.ttf,2
Mc Unclaimed #11,45.459572734854994,-122.66989393096422,10,fonts/helvetica.ttf,2
Eastmoreland/Ardenwald-Johnson Creek,45.46563868790282,-122.63442553856879,10,fonts/helvetica.ttf,2
Ardenwald-Johnson Creek,45.462563282644005,-122.62971688046997,10,fonts/helvetica.ttf,2
Markham,45.45643074019391,-122.70348634262777,10,fonts/helvetica.ttf,2
Marshall Park,45.45319030779303,-122.69406584048673,10,fonts/helvetica.ttf,2
Ardenwald-Johnson Creek/Woodstock,45.46300254675557,-122.61919986356097,10,fonts/helvetica.ttf,2
Collins View,45.453065475310034,-122.67896611783175,10,fonts/helvetica.ttf,2
Ardenwald-Johnson Creek,45.46191111798155,-122.61116000467426,10,fonts/helvetica.ttf,2
Crestwood,45.45377483362627,-122.7285581082832,10,fonts/helvetica.ttf,2
Ashcreek/Crestwood,45.458782507216576,-122.72222013120202,10,fonts/helvetica.ttf,2
Ashcreek/Crestwood,45.45619833897557,-122.72057398112435,10,fonts/helvetica.ttf,2
West Portland Park,45.446959673880926,-122.7204926219729,10,fonts/helvetica.ttf,2
Mc Unclaimed #13,45.44061182530825,-122.67760578987479,10,fonts/helvetica.ttf,2
Arnold Creek,45.44165223450718,-122.70013734471931,10,fonts/helvetica.ttf,2
Far Southwest,45.439177193966614,-122.73498010305435,10,fonts/helvetica.ttf,2
